components,aic,bic,heldout_loglik_mean,posterior_entropy,weights,log_means,log_sds,converged
1,3193.4420115283688,3203.578355529145,-1.3652057401524798,-0.0,1.000,4.096,0.941,True
2,2912.3431144544684,2937.6839744564086,-1.2470814197700637,0.2597430430662005,0.871;0.129,3.938;5.163,0.665;1.602,True
3,2879.4603297141293,2920.0057057172335,-1.2274372677377312,0.4187736092661741,0.619;0.026;0.355,3.641;7.238;4.662,0.524;1.762;0.627,True
