created_at,is_original_post,feed_impressions,feed_impressions_post_age_hours,word_count,hashtag_count,has_image,has_video,has_document
2026-07-10 00:51:11.473000+00:00,True,317.0,206.099035,50,5,False,False,False
2026-07-10 00:39:24.916000+00:00,True,189.0,206.295301,105,8,True,False,False
2026-07-10 00:20:26.901000+00:00,True,138.0,206.611416,32,15,True,False,False
2026-07-09 23:50:44.171000+00:00,True,208.0,207.106619,106,10,False,False,False
2026-07-09 19:24:26.320000+00:00,True,11923.0,211.544911,157,8,False,False,False
2026-07-09 16:30:52.219000+00:00,True,133.0,214.437717,175,5,True,False,False
2026-07-09 01:58:14.077000+00:00,True,109.0,228.981645,19,6,False,True,False
2026-07-09 00:59:03.823000+00:00,True,74.0,229.967827,145,5,True,False,False
2026-07-09 00:07:31.996000+00:00,True,77.0,230.826668,26,8,False,True,False
2026-07-08 23:39:33.391000+00:00,True,95.0,231.292947,95,8,True,False,False
2026-07-08 19:26:22.057000+00:00,True,82.0,235.512762,50,6,False,False,False
2026-07-07 17:28:50.749000+00:00,True,93.0,261.471459,114,8,False,False,False
2026-07-07 13:44:39.606000+00:00,True,93.0,265.207887,44,8,True,False,False
2026-07-07 05:31:53.092000+00:00,True,112.0,273.420808,103,7,False,False,False
2026-07-06 21:16:49.034000+00:00,True,205.0,281.671935,161,5,True,False,False
2026-07-06 17:57:54.151000+00:00,True,150.0,284.98718,58,20,True,False,False
2026-07-06 11:24:47.125000+00:00,True,121.0,291.539132,20,10,True,False,False
2026-07-06 00:03:43.143000+00:00,True,119.0,302.890238,2,1,True,False,False
2026-07-05 23:58:44.893000+00:00,True,88.0,302.973085,29,14,True,False,False
2026-07-05 23:20:00.836000+00:00,True,125.0,303.618657,226,10,False,False,False
2026-07-05 21:51:18.137000+00:00,True,183.0,305.097184,408,9,True,False,False
2026-07-05 21:18:23.195000+00:00,True,118.0,305.645779,1,0,True,False,False
2026-07-05 20:21:42.779000+00:00,True,117.0,306.590339,198,20,False,False,False
2026-07-05 19:28:59.369000+00:00,True,126.0,307.469064,20,10,True,False,False
2026-07-05 18:29:41.137000+00:00,True,177.0,308.457462,142,6,True,False,False
2026-07-05 17:49:16.868000+00:00,True,134.0,309.13087,83,5,False,True,False
2026-07-05 17:17:27.374000+00:00,True,87.0,309.661285,22,10,True,False,False
2026-07-05 16:15:09.754000+00:00,True,104.0,310.699513,158,16,False,False,False
2026-07-04 22:09:01.794000+00:00,True,98.0,328.801724,64,6,True,False,False
2026-07-04 21:57:44.596000+00:00,True,85.0,328.989834,70,7,False,False,False
2026-07-04 21:41:49.216000+00:00,True,146.0,329.255218,120,7,False,True,False
2026-07-04 21:19:09.567000+00:00,True,180.0,329.632898,166,10,False,True,False
2026-07-04 16:08:57.297000+00:00,True,150.0,334.802973,25,3,False,False,False
2026-07-04 15:37:39.227000+00:00,True,119.0,335.324659,27,5,False,False,False
2026-07-04 15:20:34.576000+00:00,True,165.0,335.609284,146,8,False,True,False
2026-07-04 13:58:24.656000+00:00,True,206.0,336.978707,169,5,True,False,False
2026-07-03 23:48:16.416000+00:00,True,353.0,351.147662,328,14,False,False,False
2026-07-03 23:33:15.167000+00:00,True,335.0,351.398009,325,9,True,False,False
2026-07-03 23:03:17.271000+00:00,True,191.0,351.897425,448,16,True,False,False
2026-07-03 22:53:02.453000+00:00,True,108.0,352.068208,99,7,True,False,False
2026-07-03 22:43:03.026000+00:00,True,88.0,352.234715,17,8,True,False,False
2026-07-03 22:31:47.672000+00:00,True,101.0,352.422313,310,10,True,False,False
2026-07-03 20:51:37.656000+00:00,True,424.0,354.091762,64,5,True,False,False
2026-07-03 20:05:45.360000+00:00,True,113.0,354.856289,184,14,True,False,False
2026-07-03 19:43:06.561000+00:00,True,87.0,355.233733,178,14,True,False,False
2026-07-02 03:53:20.629000+00:00,True,228.0,395.063159,40,5,True,False,False
2026-07-01 23:44:50.992000+00:00,True,235.0,399.204724,129,10,False,True,False
2026-07-01 05:27:07.581000+00:00,True,111.0,417.500116,9,4,True,False,False
2026-07-01 05:03:47.859000+00:00,True,99.0,417.888928,15,7,True,False,False
2026-06-30 17:07:40.366000+00:00,True,117.0,429.824343,12,5,True,False,False
2026-06-30 16:57:38.800000+00:00,True,123.0,429.991444,232,6,False,False,False
2026-06-30 14:22:58.708000+00:00,True,128.0,432.569248,18,2,False,False,False
2026-06-29 20:48:27.119000+00:00,True,495.0,450.144689,144,13,False,False,False
2026-06-29 19:49:45.607000+00:00,True,1373.0,451.122887,131,8,False,False,False
2026-06-29 19:34:34.798000+00:00,True,133.0,451.375889,274,8,True,False,False
2026-06-29 18:39:52.806000+00:00,True,197.0,452.287554,160,10,True,False,False
2026-06-29 15:28:25.198000+00:00,True,132.0,455.478556,85,7,True,False,False
2026-06-29 15:16:55.400000+00:00,True,76.0,455.670167,4,2,True,False,False
2026-06-29 14:57:25.779000+00:00,True,63.0,455.995061,9,4,True,False,False
2026-06-29 00:37:06.324000+00:00,True,169.0,470.333799,9,4,True,False,False
2026-06-28 23:46:05.427000+00:00,True,216.0,471.184048,46,5,False,False,False
2026-06-28 23:19:11.171000+00:00,True,500.0,471.632452,48,5,True,False,False
2026-06-28 21:13:22.947000+00:00,True,156.0,473.729181,33,5,False,False,False
2026-06-28 14:20:30.257000+00:00,True,1254.0,480.610484,127,8,False,False,False
2026-06-28 01:57:23.813000+00:00,True,362.0,492.995608,54,3,False,False,False
2026-06-27 22:44:27.529000+00:00,True,325.0,496.211242,311,3,False,False,False
2026-06-27 21:47:22.262000+00:00,True,307.0,497.162705,32,3,True,False,False
2026-06-27 21:31:32.758000+00:00,True,201.0,497.426456,14,3,False,False,False
2026-06-27 16:22:53.682000+00:00,True,192.0,502.570644,25,12,True,False,False
2026-06-27 16:12:17.494000+00:00,True,209.0,502.747363,31,3,False,False,False
2026-06-27 15:19:58.996000+00:00,True,238.0,503.619168,411,10,True,False,False
2026-06-27 14:18:50.351000+00:00,True,403.0,504.638236,355,6,True,False,False
2026-06-27 13:09:17.004000+00:00,True,282.0,505.797499,176,7,True,False,False
2026-06-27 03:37:00.790000+00:00,True,217.0,515.335336,9,4,True,False,False
2026-06-27 00:54:04.651000+00:00,True,165.0,518.05093,94,4,False,True,False
2026-06-27 00:07:22.197000+00:00,True,12238.0,518.82939,51,1,True,False,False
2026-06-26 22:30:50.455000+00:00,True,126.0,520.438207,31,4,False,False,False
2026-06-26 18:26:27.115000+00:00,True,199.0,524.511357,169,7,False,False,False
2026-06-26 17:04:20.072000+00:00,True,137.0,525.87998,2,0,True,False,False
2026-06-26 02:14:15.270000+00:00,True,120.0,540.714647,11,1,False,True,False
2026-06-26 00:38:20.478000+00:00,True,169.0,542.313201,13,3,False,False,False
2026-06-26 00:34:28.246000+00:00,True,168.0,542.377709,260,12,True,False,False
2026-06-26 00:19:34.719000+00:00,True,155.0,542.625911,208,8,True,False,False
2026-06-25 23:43:24.238000+00:00,True,186.0,543.228823,160,14,True,False,False
2026-06-25 23:14:28.410000+00:00,True,215.0,543.710997,93,5,False,False,False
2026-06-25 23:00:54.869000+00:00,True,220.0,543.936981,274,17,True,False,False
2026-06-25 22:26:58.147000+00:00,True,221.0,544.502737,318,5,False,False,False
2026-06-25 21:59:08.514000+00:00,True,3959.0,544.966524,259,5,False,False,False
2026-06-25 21:45:20.840000+00:00,True,716.0,545.196433,262,5,False,False,False
2026-06-25 21:34:44.929000+00:00,True,3840.0,545.373075,345,5,False,False,False
2026-06-25 20:42:10.631000+00:00,True,14005.0,546.249269,207,5,True,False,False
2026-06-25 20:20:00.264000+00:00,True,136.0,546.618816,39,19,True,False,False
2026-06-25 19:57:06.965000+00:00,True,101.0,547.000288,217,15,True,False,False
2026-06-25 19:41:30.986000+00:00,True,473.0,547.260282,51,1,False,False,False
2026-06-25 03:09:15.908000+00:00,True,357.0,563.797803,134,4,False,False,False
2026-06-25 00:54:01.946000+00:00,True,384.0,566.051682,154,12,False,False,False
2026-06-24 16:59:25.191000+00:00,True,109.0,573.961891,103,7,True,False,False
,True,65.0,594.6925,23,2,False,False,False
2026-06-22 15:23:17.903000+00:00,True,163.0,623.563916,57,4,True,False,False
2026-06-22 00:19:15.863000+00:00,True,281.0,638.631149,73,13,True,False,False
2026-06-21 21:23:50.037000+00:00,True,118.0,641.55499,1,0,True,False,False
2026-06-21 19:30:06.500000+00:00,True,187.0,643.450417,117,8,False,False,False
2026-06-21 18:09:52.420000+00:00,True,213.0,644.787661,43,4,False,False,False
2026-06-21 18:02:48.217000+00:00,True,201.0,644.905495,32,4,False,False,False
2026-06-21 16:18:25.013000+00:00,True,132.0,646.645274,367,6,True,False,False
2026-06-21 15:52:08.105000+00:00,True,138.0,647.083304,89,6,False,True,False
2026-06-21 15:39:21.594000+00:00,True,222.0,647.296224,82,6,False,False,False
2026-06-21 14:14:02.499000+00:00,True,82.0,648.718195,280,6,True,False,False
2026-06-21 11:33:45.388000+00:00,True,71.0,651.389614,8,4,False,True,False
2026-06-21 01:17:58.768000+00:00,True,173.0,661.652564,190,9,False,False,False
2026-06-21 00:47:13.606000+00:00,True,99.0,662.165109,16,1,False,False,False
2026-06-21 00:45:12.059000+00:00,True,89.0,662.198872,11,1,False,False,False
2026-06-21 00:37:25.828000+00:00,True,106.0,662.328381,341,11,False,False,False
2026-06-21 00:18:13.203000+00:00,True,100.0,662.648555,62,6,False,False,False
2026-06-20 22:23:20.743000+00:00,True,84.0,664.563127,249,19,False,False,False
2026-06-20 20:17:46.404000+00:00,True,78.0,666.655999,10,5,True,False,False
2026-06-20 15:56:35.062000+00:00,True,132.0,671.009149,319,6,True,False,False
2026-06-19 19:33:45.292000+00:00,True,252.0,691.389641,10,4,True,False,False
2026-06-19 16:53:53.771000+00:00,True,204.0,694.053952,356,11,True,False,False
2026-06-19 00:34:18.372000+00:00,True,143.0,710.380452,33,4,False,False,False
2026-06-18 18:51:31.498000+00:00,True,108.0,716.093473,152,5,True,False,False
2026-06-18 17:39:56.161000+00:00,True,1465.0,717.286622,91,3,True,False,False
2026-06-18 03:13:35.135000+00:00,True,426.0,731.725796,242,10,False,False,False
2026-06-18 02:32:50.712000+00:00,True,147.0,732.404802,59,4,True,False,False
2026-06-18 02:29:41.691000+00:00,True,83.0,732.457308,160,4,True,False,False
2026-06-17 20:42:12.026000+00:00,True,169.0,738.248882,218,14,True,False,False
2026-06-17 19:43:53.054000+00:00,True,150.0,739.220818,145,15,True,False,False
2026-06-16 21:46:03.127000+00:00,True,142.0,761.184687,201,7,True,False,False
2026-06-16 20:16:16.378000+00:00,True,127.0,762.681006,167,6,False,True,False
2026-06-16 18:43:28.283000+00:00,True,74.0,764.227699,11,5,True,False,False
2026-06-16 13:46:59.396000+00:00,True,129.0,769.169057,160,4,False,False,False
2026-06-14 21:35:02.648000+00:00,True,69.0,809.368153,83,13,False,False,False
2026-06-14 21:23:15.975000+00:00,True,130.0,809.564451,144,16,False,False,False
2026-06-14 21:15:29.751000+00:00,True,344.0,809.693958,156,15,True,False,False
2026-06-14 20:50:37.698000+00:00,True,177.0,810.108417,122,11,True,False,False
2026-06-14 19:34:09.322000+00:00,True,87.0,811.382966,51,25,False,True,False
2026-06-14 16:14:38.053000+00:00,True,53.0,814.708319,13,6,True,False,False
2026-06-13 16:40:27.189000+00:00,True,45.0,838.278003,8,4,True,False,False
2026-06-12 21:26:44.387000+00:00,True,116.0,857.506559,437,15,False,False,False
2026-06-12 03:10:41.447000+00:00,True,127.0,875.774042,37,5,False,False,False
2026-06-12 02:52:24.988000+00:00,True,72.0,876.078614,252,13,False,False,False
2026-06-12 00:46:39.334000+00:00,True,53.0,878.174629,20,10,False,True,False
2026-06-11 23:57:12.177000+00:00,True,40.0,878.99884,0,0,True,False,False
2026-06-11 23:33:32.734000+00:00,True,88.0,879.393129,37,9,True,False,False
2026-06-11 21:06:35.253000+00:00,True,75.0,881.84243,84,8,False,True,False
2026-06-11 20:56:01.580000+00:00,True,32.0,882.01845,10,5,True,False,False
2026-06-10 05:00:54.568000+00:00,True,91.0,921.937064,40,4,False,False,False
2026-06-10 04:54:54.950000+00:00,True,116.0,922.036958,72,10,False,False,False
2026-06-09 23:10:07.236000+00:00,True,76.0,927.783546,1,0,True,False,False
2026-06-09 01:00:00.543000+00:00,True,154.0,949.952071,56,5,False,False,False
2026-06-08 22:01:32.838000+00:00,True,88.0,952.926434,66,5,False,False,False
2026-06-08 19:16:07.762000+00:00,True,126.0,955.683399,63,5,False,False,False
2026-06-08 01:34:43.200000+00:00,True,41.0,973.373556,1,0,True,False,False
2026-06-07 23:24:37.940000+00:00,True,46.0,975.541683,11,5,True,False,False
2026-06-07 03:06:23.395000+00:00,True,67.0,995.845724,28,4,False,False,False
2026-06-06 12:34:59.867000+00:00,True,90.0,1010.368926,7,0,False,False,False
